GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.write,FlightDataWriter,326,0,16,0,63,0,19,0,11,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.write,FlightWriteAbortException,0,59,0,0,0,6,0,4,0,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.write,FlightDataWriterFactory,110,0,6,0,18,0,7,0,4,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.write,FlightWriterCommitMessage,0,107,1,3,0,20,1,5,0,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.write,FlightWrite,165,0,8,0,28,0,21,0,17,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.write,FlightWriteBuilder,32,0,0,0,9,0,3,0,3,0
Arrow Flight Server,pro.surpin.data.arrowflight.client,Configuration,143,264,7,13,48,56,29,16,24,11
Arrow Flight Server,pro.surpin.data.arrowflight.client,Client,1435,0,132,0,262,0,112,0,46,0
Arrow Flight Server,pro.surpin.data.arrowflight.server.model,ExecutionPath,0,92,0,0,0,16,0,4,0,4
Arrow Flight Server,pro.surpin.data.arrowflight.server.model,ExecutionPathTracker,0,60,0,0,0,18,0,7,0,7
Arrow Flight Server,pro.surpin.data.arrowflight.server.model,QueryPlan,0,15,0,0,0,3,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.model,HandleState,8,144,9,9,1,15,8,9,0,8
Arrow Flight Server,pro.surpin.data.arrowflight.server.model,AppConfig,0,81,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.model,FileAssignment,0,9,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ParquetQueryParser,71,965,19,93,18,218,22,52,4,14
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ClusterService.LocalHandle,0,9,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,QueryPlanner.ClusterSnapshot,0,9,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,MetadataService,687,591,53,32,139,137,57,34,25,22
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ParquetQueryParser.SelectExpr,0,40,0,2,0,12,0,3,0,2
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ExecutionService,1168,392,151,68,234,86,100,43,17,15
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ParquetQueryParser.JoinTable,0,12,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,EndpointTicketCodec,67,311,21,27,16,60,21,11,0,8
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ClusterService,170,571,24,36,37,125,24,34,8,20
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,QueryPlanner,219,790,35,59,48,153,29,49,4,27
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,QueryPlanner.CachedFilePlan,0,9,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.services,ParquetQueryParser.SelectExpr.AggFunc,0,39,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.metrics,MetricsService,16,466,7,7,4,101,6,20,0,19
Arrow Flight Server,pro.surpin.data.arrowflight.server.metrics,ExecutionPathRecorder,88,187,7,9,17,39,6,9,1,6
Arrow Flight Server,pro.surpin.data.arrowflight.server.metrics,MetricsService.QueryObservation,1,101,2,6,1,25,2,7,0,5
Arrow Flight Server,pro.surpin.data.arrowflight.server.metrics,MetricsService.QueryMetrics,0,30,0,0,0,6,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,DuckDbAdapter.new InputFile() {...},22,0,0,0,3,0,3,0,3,0
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,DuckDbAdapter.new InputFile() {...},22,0,0,0,3,0,3,0,3,0
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,DuckDbAdapter,475,875,86,86,99,186,62,58,8,21
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,DuckDbAdapter.ListenerReadiness,27,159,1,11,3,40,1,7,0,2
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,SchemaConverter,278,835,35,51,32,78,26,35,0,9
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,ParquetAdapter.CachedTableSchema,0,12,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,HostUtils,2,82,3,15,1,23,3,8,0,2
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,SchemaConverter.TypeInfo,121,157,0,0,20,4,1,2,1,2
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,ParquetAdapter.TableKey,0,9,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,ParquetAdapter.new InputFile() {...},11,12,0,0,3,1,2,1,2,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,HazelcastAdapter,110,4,2,0,27,1,9,1,8,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,ParquetAdapter,658,774,64,36,120,169,54,42,15,31
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,ConfigAdapter,43,450,27,51,10,83,24,24,0,9
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,ParquetAdapter.CachedParquetMetadata,0,18,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server.adapters,FlightSqlProducer,620,340,54,10,174,89,49,6,17,6
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.DecimalType,0,16,0,0,0,6,0,3,0,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldVector,25,0,0,0,7,0,4,0,4,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,RowSet.Row,0,20,0,0,0,6,0,3,0,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.BinaryType,0,10,0,0,0,4,0,2,0,2
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.MapType,0,16,0,0,0,6,0,3,0,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,Table,811,958,130,123,145,173,113,86,26,41
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.StructType,0,10,0,0,0,4,0,2,0,2
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.ListType,0,21,0,0,0,8,0,4,0,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,TypeConversionHelper,818,252,95,2,100,46,82,8,29,7
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,ArrowConversion,4386,1707,376,2,347,279,420,7,231,7
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.UnionType,0,4,0,0,0,2,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,Field,25,61,1,5,2,15,4,9,3,7
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType.IDs,0,135,0,0,0,23,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,RowSet,3,41,0,2,1,11,1,5,1,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,FieldType,105,531,24,74,11,91,17,70,0,21
Arrow Flight Server,pro.surpin.data.arrowflight.client.model,Table.QueryParts,0,12,0,0,0,1,0,1,0,1
Arrow Flight Server,pro.surpin.data.arrowflight.server,DaggerServerComponent.Builder,17,0,0,0,4,0,2,0,2,0
Arrow Flight Server,pro.surpin.data.arrowflight.server,LogUtil,133,91,17,9,27,24,15,10,4,8
Arrow Flight Server,pro.surpin.data.arrowflight.server,HadoopArrowFlightServer.new MembershipAdapter() {...},19,0,0,0,5,0,2,0,2,0
Arrow Flight Server,pro.surpin.data.arrowflight.server,ServerModule,150,0,0,0,32,0,14,0,14,0
Arrow Flight Server,pro.surpin.data.arrowflight.server,HadoopArrowFlightServer,487,159,30,20,117,32,25,11,6,5
Arrow Flight Server,pro.surpin.data.arrowflight.server,ServerModule.new AbstractExecutorService() {...},153,0,4,0,29,0,11,0,9,0
Arrow Flight Server,pro.surpin.data.arrowflight.server,DaggerServerComponent.ServerComponentImpl,136,0,0,0,21,0,6,0,6,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.query,QueryStatement,4,118,2,26,0,14,2,15,0,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.query,Endpoint,3,65,1,3,1,15,2,4,1,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.query,QueryEndpoints,6,40,0,0,2,12,2,5,2,5
Arrow Flight Server,pro.surpin.data.arrowflight.client.query,PushAggregation,0,25,0,0,0,10,0,4,0,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark,FlightSource,265,0,28,0,46,0,21,0,7,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark,FlightSessionCatalog,153,0,14,0,31,0,12,0,5,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark,FlightRelation.FlightRowIterator,99,0,14,0,32,0,13,0,6,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark,FlightTable,340,0,22,0,41,0,34,0,23,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark,FlightRelation,257,0,20,0,56,0,27,0,17,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightBatch,112,0,2,0,16,0,9,0,8,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightInputPartition.FlightEndpointInputPartition,7,76,5,9,3,14,6,5,1,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightArrowColumnVector,572,151,114,13,101,32,85,10,16,6
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightPartitionReaderFactory,59,99,18,18,12,23,17,9,2,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightColumnarPartitionReader,84,149,14,16,21,39,13,10,1,7
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightColumnarPartitionReader.FlightOwnedColumnarBatch,1,5,0,0,1,2,1,1,1,1
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightScan,22,34,0,0,4,9,3,3,3,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightInputPartition,0,28,0,2,0,10,0,4,0,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightScan.new Statistics() {...},0,31,0,4,0,3,0,5,0,3
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightPartitionReader,1861,10,205,0,390,5,136,1,31,1
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightInputPartition.FlightQueryInputPartition,3,7,0,0,1,3,1,1,1,1
Arrow Flight Server,pro.surpin.data.arrowflight.client.spark.read,FlightScanBuilder,255,908,70,98,49,165,57,53,2,24
Arrow Flight Server,pro.surpin.data.arrowflight.client.write,WriteStatement.ConverterKey,9,0,0,0,1,0,1,0,1,0
Arrow Flight Server,pro.surpin.data.arrowflight.client.write,WriteStatement,1939,111,51,9,209,33,114,10,88,6
Arrow Flight Server,pro.surpin.data.arrowflight.client.write,PartitionBehavior,10,487,15,33,4,46,14,32,0,22
Arrow Flight Server,pro.surpin.data.arrowflight.client.write,PartitionBehavior.Bound,12,91,1,1,0,8,1,5,0,5
Arrow Flight Server,pro.surpin.data.arrowflight.client.write,WriteBehavior,9,49,0,6,3,13,3,7,3,4
Arrow Flight Server,pro.surpin.data.arrowflight.client.write,WriteProtocol,0,15,0,0,0,3,0,1,0,1
